#Date    MJD          VIS?  PAnom   PArange
19-11-22 58809.000000 True  331.578 326.421--336.735 
19-11-23 58810.000000 True  332.582 327.426--337.739 
19-11-24 58811.000000 True  333.587 328.430--338.744 
19-11-25 58812.000000 True  334.592 329.436--339.749 
19-11-26 58813.000000 True  335.598 330.441--340.755 
19-11-27 58814.000000 True  336.604 331.448--341.761 
19-11-28 58815.000000 True  337.611 332.455--342.768 
19-11-29 58816.000000 True  338.618 333.462--343.775 
19-11-30 58817.000000 True  339.626 334.470--344.783 
19-12-01 58818.000000 True  340.635 335.478--345.791 
19-12-02 58819.000000 True  341.644 336.487--346.800 
19-12-03 58820.000000 True  342.653 337.496--347.810 
19-12-04 58821.000000 True  343.663 338.506--348.820 
19-12-05 58822.000000 True  344.673 339.517--349.830 
19-12-06 58823.000000 True  345.684 340.528--350.841 
19-12-07 58824.000000 True  346.696 341.539--351.852 
19-12-08 58825.000000 True  347.707 342.551--352.864 
19-12-09 58826.000000 True  348.720 343.563--353.876 
19-12-10 58827.000000 True  349.732 344.576--354.889 
19-12-11 58828.000000 True  350.746 345.589--355.902 
19-12-12 58829.000000 True  351.759 346.603--356.916 
19-12-13 58830.000000 True  352.774 347.617--357.930 
19-12-14 58831.000000 True  353.788 348.632--358.945 
19-12-15 58832.000000 True  354.803 349.647--359.960 
19-12-16 58833.000000 True  355.819 350.662--  0.975 
19-12-17 58834.000000 True  356.835 351.678--  1.991 
19-12-18 58835.000000 True  357.851 352.694--  3.008 
19-12-19 58836.000000 True  358.868 353.711--  4.024 
19-12-20 58837.000000 True  359.885 354.728--  5.041 
19-12-21 58838.000000 True    0.902 355.746--  6.059 
19-12-22 58839.000000 True    1.920 356.764--  7.077 
19-12-23 58840.000000 True    2.938 357.782--  8.095 
19-12-24 58841.000000 True    3.957 358.801--  9.114 
19-12-25 58842.000000 True    4.976 359.819-- 10.133 
19-12-26 58843.000000 True    5.995   0.839-- 11.152 
19-12-27 58844.000000 True    7.015   1.858-- 12.172 
19-12-28 58845.000000 True    8.035   2.878-- 13.192 
19-12-29 58846.000000 True    9.055   3.899-- 14.212 
19-12-30 58847.000000 True   10.076   4.919-- 15.233 
19-12-31 58848.000000 True   11.097   5.940-- 16.253 
20-01-01 58849.000000 True   12.118   6.961-- 17.275 
20-01-02 58850.000000 True   13.139   7.983-- 18.296 
20-01-03 58851.000000 True   14.161   9.005-- 19.318 
20-01-04 58852.000000 True   15.183  10.027-- 20.340 
20-01-05 58853.000000 True   16.205  11.049-- 21.362 
20-01-06 58854.000000 True   17.228  12.071-- 22.384 
20-01-07 58855.000000 True   18.250  13.094-- 23.407 
20-01-08 58856.000000 True   19.273  14.117-- 24.430 
20-01-09 58857.000000 True   20.296  15.140-- 25.453 
20-01-10 58858.000000 True   21.320  16.163-- 26.476 
20-01-11 58859.000000 True   22.343  17.186-- 27.499 
20-01-12 58860.000000 True   23.366  18.210-- 28.523 
20-01-13 58861.000000 True   24.390  19.234-- 29.547 
20-01-14 58862.000000 True   25.414  20.257-- 30.570 
20-01-15 58863.000000 True   26.438  21.281-- 31.594 
20-01-16 58864.000000 True   27.462  22.305-- 32.618 
20-01-17 58865.000000 True   28.486  23.329-- 33.643 
20-01-18 58866.000000 True   29.510  24.353-- 34.667 
20-01-19 58867.000000 True   30.534  25.378-- 35.691 
20-01-20 58868.000000 True   31.559  26.402-- 36.715 
20-01-21 58869.000000 True   32.583  27.426-- 37.740 
20-01-22 58870.000000 True   33.607  28.451-- 38.764 
20-01-23 58871.000000 True   34.632  29.475-- 39.788 
20-01-24 58872.000000 True   35.656  30.499-- 40.813 
20-01-25 58873.000000 True   36.680  31.524-- 41.837 
20-01-26 58874.000000 True   37.704  32.548-- 42.861 
20-01-27 58875.000000 True   38.729  33.572-- 43.885 
20-01-28 58876.000000 True   39.753  34.596-- 44.909 
20-01-29 58877.000000 True   40.777  35.620-- 45.933 
20-01-30 58878.000000 True   41.800  36.644-- 46.957 
20-01-31 58879.000000 True   42.824  37.668-- 47.981 
20-02-01 58880.000000 True   43.848  38.691-- 49.004 
20-02-02 58881.000000 True   44.871  39.714-- 50.028 
20-02-03 58882.000000 True   45.894  40.738-- 51.051 
20-02-04 58883.000000 True   46.917  41.760-- 52.074 
20-02-05 58884.000000 True   47.940  42.783-- 53.096 
20-02-06 58885.000000 True   48.962  43.805-- 54.119 
20-02-07 58886.000000 True   49.984  44.827-- 55.141 
20-02-08 58887.000000 True   51.006  45.849-- 56.162 
